"Time","Symbol","Side","Type","Size","Price","Trade Value","Fee","Realized PnL"
"2025-11-12 13:07:12","SUI","Open Short","Fulfill Taker","101.6 SUI","1.9968","$202.87","$0.08","-$0.08"
"2025-11-12 12:52:01","XPL","Open Short","Fulfill Taker","799 XPL","0.2606","$208.22","$0.08","-$0.08"
"2025-11-12 12:51:59","HYPE","Open Short","Fulfill Taker","5.2 HYPE","39.06","$203.11","$0.08","-$0.08"
"2025-11-12 12:39:50","UNI","Open Short","Fulfill Taker","32 UNI","7.814","$250.05","$0.1","-$0.1"
"2025-11-12 12:39:38","UNI","Close Short","Fulfill Taker","24 UNI","7.814","$187.54","$0.08","+$11.73"
"2025-11-12 12:36:45","TAO","Open Short","Fulfill Taker","0.56 TAO","359.7","$201.43","$0.08","-$0.08"
"2025-11-12 12:36:43","ASTER","Open Short","Fulfill Taker","126.9 ASTER","1.14207","$144.93","$0.06","-$0.06"
"2025-11-12 12:36:43","ASTER","Open Short","Fulfill Taker","41.84 ASTER","1.14254","$47.8","$0.02","-$0.02"
"2025-11-12 12:36:43","ASTER","Open Short","Fulfill Taker","9.96 ASTER","1.1428","$11.38","$0","-$0"
"2025-11-12 12:36:40","AAVE","Open Short","Fulfill Taker","0.98 AAVE","209.67","$205.48","$0.08","-$0.08"
"2025-11-12 12:22:30","LDO","Open Short","Fulfill Taker","252.5 LDO","0.8208","$207.25","$0.08","-$0.08"
"2025-11-12 12:22:28","MON","Open Short","Fulfill Taker","2419 MON","0.05181","$125.33","$0.05","-$0.05"
"2025-11-12 12:22:28","ENA","Close Long","Fulfill Taker","628 ENA","0.32208","$202.27","$0.08","-$1.44"
"2025-11-12 12:22:25","ZEC","Open Short","Fulfill Taker","0.45 ZEC","460.3","$207.14","$0.08","-$0.08"
"2025-11-12 11:52:06","VIRTUAL","Open Short","Fulfill Taker","157.3 VIRTUAL","1.3335","$209.76","$0.08","-$0.08"
"2025-11-12 11:52:05","ZEC","Close Long","Fulfill Taker","0.43 ZEC","461.85","$198.6","$0.08","-$6.42"
"2025-11-12 11:50:25","PUMP","Close Long","Fulfill Maker","48549 PUMP","0.00431","$209.25","$0.03","-$5.71"
"2025-11-12 11:50:23","PUMP","Close Long","Fulfill Maker","11 PUMP","0.00431","$0.05","$0","-$0"
"2025-11-12 11:50:13","FARTCOIN","Close Long","Fulfill Maker","673.9 FARTCOIN","0.2967","$199.95","$0.03","-$4.61"
"2025-11-12 11:50:12","ASTER","Close Long","Fulfill Maker","182.5 ASTER","1.1495","$209.78","$0.03","-$7.67"
"2025-11-12 11:50:10","FARTCOIN","Close Long","Fulfill Maker","0.1 FARTCOIN","0.2967","$0.03","$0","-$0"
"2025-11-12 11:49:24","LINK","Close Long","Fulfill Taker","12.7 LINK","15.757","$200.11","$0.08","-$3.41"
"2025-11-12 11:49:05","PENGU","Close Long","Fulfill Taker","13685 PENGU","0.015042","$205.85","$0.08","-$5.04"
"2025-11-12 11:48:02","AAVE","Close Long","Fulfill Taker","0.95 AAVE","213.88","$203.19","$0.08","-$3.81"
"2025-11-12 11:47:44","TAO","Close Long","Fulfill Taker","0.55 TAO","365.24","$200.88","$0.08","-$4.5"
"2025-11-12 11:41:26","LDO","Close Long","Fulfill Maker","243.6 LDO","0.8428","$205.31","$0.03","-$3.83"
"2025-11-12 11:04:40","XPL","Close Long","Fulfill Taker","771 XPL","0.2671","$205.93","$0.08","-$5.09"
"2025-11-12 10:21:20","VIRTUAL","Close Long","Fulfill Taker","155 VIRTUAL","1.3798","$213.87","$0.09","-$4.24"
"2025-11-12 10:06:11","UNI","Open Short","Fulfill Taker","24 UNI","8.306","$199.34","$0.08","-$0.08"
"2025-11-12 09:35:52","PENGU","Open Long","Fulfill Taker","13685 PENGU","0.015404","$210.8","$0.08","-$0.08"
"2025-11-12 09:35:50","TAO","Open Long","Fulfill Taker","0.55 TAO","373.28","$205.3","$0.08","-$0.08"
